id,chords,release_date,genres,decade,rock_genre,artist_id,main_genre,spotify_song_id,spotify_artist_id
11,<intro_1> Cmaj7 C Cmaj7 C <verse_1> G D Emin D Emin Amin D G <chorus_1> C Cmaj7 C G Cmaj7 C Amin7 Emin <verse_2> G Cmaj7 C Amin7 <chorus_2> G C G C Amin7 G C Amin7 D <bridge_1> G C Amin C <chorus_3> G C G C Amin G <outro_1> Cmaj7 C Amin,2023-02-10,'modern country pop',2020.0,,artist_5,pop,6DneB3VYsHvIYdsfFoI1e6,4GGfAshSkqoxpZdoaHm7ky
12,<intro_1> G D Emin <verse_1> G D Emin G D Emin Amin G D Amin G D Emin D <chorus_1> Emin G D Amin Emin G D Amin Emin G D Amin C D G <interlude_1> D Emin <verse_2> G D Emin G D Emin Amin G D Amin G D Emin D <chorus_2> Emin G D Amin Emin G D Amin Emin G D Amin C D G D Amin <interlude_2> G D Amin <bridge_1> G D Amin C G D Amin C G D Amin C G D Amin C Emin D <chorus_3> Emin G D Amin Emin G D Amin Emin G D Amin C D G D Amin C G D Amin C <outro_1> G D Amin C G D Amin C G D Amin C G D Amin C G,2022-03-11,,2020.0,,artist_9,,7MMMb1Ir8VDMAAaIFXFxun,2VZVJbDLdInUuxHIZobsTh
13,<intro_1> D G D G D G D G D G D Bb C D G D Bb C D <verse_1> G D Bb C D G D Bb C G D G D Bb C D G D Bb C D <chorus_1> C G C A D C <interlude_1> D G D Bb C D G D Bb C D <verse_2> G D Bb C D G D Bb C D G D Bb C D G D Bb C D <chorus_2> C G C A D <interlude_2> A D A D A C D <outro_1> G D Bb C D G D Bb C D G D Bb C D G D Bb C D G D G D Bb C D G D Bb C D,2009-11-13,'australian alternative rock' 'australian rock',2000.0,australian alternative rock,artist_10,rock,3ouHmB2wtv5CzbsWlAGZzq,6LBCQo20ri3tsvbsWWLmr6
14,<intro_1> E G D A <verse_1> D A D A D A D A <chorus_1> E D A E D E D A Bmin D <verse_2> A D A D <chorus_2> E D A E D E D A Bmin D <bridge_1> E G D E G D <verse_3> A D A D E D A E D E D A D E D A E D E D A Bmin D,2011-09-20,'comic',2010.0,,artist_11,,3uKv45soturBZVumfsXoag,292sg99iIOc93zcd30r4Oz
15,Amin7 Emin Gmaj7 Amin Cmaj7 Emin7 Cmaj7 Amin7 Cmaj7 Emin7 Cmaj7 Amin7 Cmaj7 Amin7 Emin7 Fsmin Amin Fsmin Cmin B Cmaj7 Amin7 Cmaj7 Emin7 Cmaj7 Amin7 Cmaj7 Amin7 Emin7 Fsmin Amin Fsmin Cmin B Amin7 Emin7 Fsmin Amin Fsmin Cmin B Cmaj7 Amin7 Emin7 Dmin7 Cmaj7 Amin Emin7 Dmin7 G7 Cmaj7 Amin7 Emin7 Dmin7 G7 Cmaj7 Amin7 Emin7 Dmin7 G7 Amin7 Emin7 Fsmin Amin Fsmin Cmin B B7 Amin7 Emin7 Fsmin Amin Fsmin Cmin B B7 Amin7,2010-01-01,'canadian contemporary r&b' 'canadian pop' 'neo mellow',2000.0,,artist_12,soul,3a3Zhb4QJx7r3yxw4j9VVP,1uquUYtkdKei0zuhBY9P0t
16,<intro_1> D F C D F C D F C D F C D <verse_1> Emin D F C D F C D <verse_2> Emin D Emin <chorus_1> D C F G D C F G D C F G D C F G <interlude_1> A G A C <bridge_1> D Bb D Bb D <interlude_2> Bb D <chorus_1> Emin D C F G D C/E F G D F D F D F D F D F D F D F D F D,2000,'art punk' 'permanent wave' 'protopunk' 'singer-songwriter',1990.0,,artist_13,punk,2YNNsFj1otPsgN6nQus2So,0vYkHhJ48Bs3jWcvZXvOrP
17,<intro_1> C Bb C Bb F Bb F Bb <verse_1> G F Bb G F Bb G F Bb G F Bb <chorus_1> F <interlude_1> Bb F Bb <verse_2> G F Bb G F Bb G F Bb G F Bb <chorus_2> F <bridge_1> Bb C D Bb C D Bb C D Bb C D <chorus_3> F E A D E A D <verse_3> G F Bb G F Bb G F Bb G F Bb <chorus_4> F Bb C D Bb C D Bb C D Bb C D Bb C D Bb C D Bb C D Bb C D Bb C D Bb C D Bb C D Bb C D,2003-07-14,'britpop' 'permanent wave' 'rock' 'welsh rock',2000.0,welsh rock,artist_14,pop rock,0gyyXCNrJ2n4Et5iWYMWud,2uH0RyPcX7fnCcT90HFDQX
18,<intro_1> C F <verse_1> C G C G Amin F Amin F G <verse_2> C G C G Amin F Amin F G <chorus_1> F Amin G F Amin G Amin C <verse_3> G C G <chorus_2> F Amin G F Amin G Amin C G C F C F G C G C F C F G <chorus_3> F Amin G F Amin G Amin C F Amin G F Amin G Amin C G C F C F G C G C F C F G C G C F C F G C G C F C F G,2011-04-04,'album rock' 'classic rock' 'glam metal' 'hard rock' 'rock',2010.0,hard rock,artist_15,rock,0F5IyjfspYrgLfQLwojQxj,6fvN9GmMCVKb5LY0WsnjFP
19,<intro_1> Gsmin <verse_1> Fs Gsmin Fs B Fs Csmin E B Fs E <chorus_1> Gsmin E B Fs Gsmin E B Fs Gsmin <verse_2> Fs Gsmin Fs B Fs Csmin E B Fs E <chorus_2> Gsmin E B Fs Gsmin E B Fs Gsmin E B Fs Gsmin E B Fs <chorus_3> Gsmin E B Fs Gsmin E B Fs Gsmin,2022-03-04,,2020.0,,artist_16,,6MTGc6L8O2uvaWIUINmH93,67L6bntdsE71BxgM3S5rNo
20,<intro_1> Bb F C Bb F C <verse_1> Bb F Dmin C Bb F Dmin C Bb F Dmin C Bb F Dmin F/A Bb F C Bb F C <chorus_1> Bb F Dmin C Bb F Dmin C Bb F Dmin C Bb F C F/A <verse_2> Bb F Dmin C Bb F Dmin C Bb F Dmin C Bb F Dmin C Bb F C Bb F C <chorus_2> Bb F Dmin C Bb F Dmin C Bb F Dmin C Bb F C F/A <bridge_1> Bb F C Bb F C Bb F C Bb F C <chorus_3> Bb F Dmin C Bb F Dmin C Bb F Dmin C Bb F C F/A Bb F Dmin C Bb F Dmin C Bb F Dmin C Bb F Dmin F/A,2023-01-21,'lustrum',2020.0,,artist_17,,4PdGvl0Z3ZrD48jzfGe3ZK,5xHZomb43JFKXjX5ge7Pmz
21,<intro_1> G Cadd9 G Cadd9 G Cadd9 G <verse_1> Cadd9 G Cadd9 G Cadd9 G Cadd9 G <interlude_1> Cadd9 G <verse_2> Cadd9 G Cadd9 G Cadd9 G Cadd9 G <interlude_2> Cadd9 G Cadd9 G Cadd9 G D G D G C G D G D G C G C D G C G <verse_3> Cadd9 G Cadd9 G Cadd9 G <outro_1> Cadd9 G Cadd9 G,1992-06-03,'ectofolk' 'folk' 'lilith' 'singer-songwriter' 'women's music',1990.0,,artist_18,country,5Lp3jYkxzIm9ZkUJ4jeH8P,4wM29TDTr3HI0qFY3KoSFG
22,<intro_1> E D/E E D/E <verse_1> E A E A Csmin B A Csmin B A E B Csmin A E B Csmin A <chorus_1> B A <verse_2> E D/E A E D/E A E Csmin B A Csmin B A E B Csmin A E B Csmin A <chorus_2> B A <verse_3> E B A E B A E B D A E B A <verse_4> B E/Gs A B E/Gs A B E/Gs A B E/Gs A Csmin B A Csmin B A E B E A B <bridge_1> E B E B E B D/E A E B D <verse_5> E B A E B A E B D A E B A <outro_1> B A,2023-03-31,'alternative country' 'heartland rock',2020.0,heartland rock,artist_19,country,0GuYw7qcmDeDKRRGM0l3yp,3qkZBMz5JgmRN9u5wwhRC6
23,<verse_1> C Emin D Bmin C Emin D Bmin C Emin D Bmin C Emin D <chorus_1> C Emin D Bmin C Emin D Bmin Emin <verse_2> C Emin D Bmin C Emin D Bmin C Emin D <chorus_2> C Emin D Bmin C Emin D Emin Amin C Emin D C Emin D Bmin <bridge_1> Amin C Emin D Amin C Emin D <chorus_3> C Emin D Bmin C Emin D Emin Amin C Emin D C Emin D Bmin <outro_1> Amin C Emin D Amin C Emin D C,2019-09-27,'metalcore',2010.0,,artist_20,metal,61vFhkZdG47M0DDOMPXss4,5FjQVp1Lb0kltmwIuu5kfj
24,<intro_1> D A Bmin G <chorus_1> D A Bmin G D A Bmin G D A Bmin7 G <verse_1> D A Bmin7 G D A Bmin7 G D A Bmin7 G <chorus_2> D A Bmin G D A Bmin G D A Bmin7 G <verse_2> D A Bmin G D A Bmin7 G <chorus_3> D A Bmin G D A Bmin G <bridge_1> D A Bmin G <chorus_4> D A Bmin G D A Bmin G D A Bmin G <outro_1> D A Bmin G,2023-01-13,'alt z',2020.0,,artist_21,,4rSNCJgnoYlmZTclowwXmr,6DdbeAeBlrYj8bNToZv4TY
25,<intro_1> Amin Amin7/G Fmaj7 Esus4 E <verse_1> Amin Amin7/G Fmaj7 E Amin Amin7/G Fmaj7 E C G/B E Amin G/B C G/B Esus4 E Amin Amin7/G Fmaj7 E7 <chorus_1> C G Amin F/A E C G Amin E7 F G E7 Amin F G E7 Amin F G Amin <verse_2> Amin7/G Fmaj7 E Amin Amin7/G Fmaj7 E C G/B E Amin G/B C G/B Esus4 E Amin Amin7/G Fmaj7 E7 <chorus_2> C G Amin F/A E C G Amin E7 F G E7 Amin F G E7 Amin F G Amin <outro_1> F G E7 Amin F G E7 Amin F G Amin,1997-04-07,'classic belgian pop',1990.0,,artist_22,pop,3l1OK33ZjQSaQJbuzF9w1D,7p0vcwWuuNIgMQvaYkgiRG
26,<intro_1> Emin Emin7 Cmaj7 Bsus4 B <verse_1> Emin Emin7 Cmaj7 Bsus4 B Amin G Amin Bsus4 B <verse_2> Emin Emin7 Cmaj7 Bsus4 B Amin G Amin Bsus4 B <chorus_1> Emin C D B7 Emin C D B7 Emin D7 G C Bsus4 B <verse_3> Emin Emin7 Cmaj7 Bsus4 B Amin G Amin Bsus4 B <chorus_2> Emin C D B7 Emin C D B7 Emin D7 G C Bsus4 B <instrumental_1> Emin Emin7 Cmaj7 Bsus4 B Amin G Amin Bsus4 B <chorus_3> Emin C D B7 Emin C D B7 Emin D7 G C Bsus4 B <outro_1> Emin Emin7 C Bsus4 B Emin,1996,'classic belgian pop',1990.0,,artist_22,pop,6hzlFBVgJz3p0q4y4Wlnzk,7p0vcwWuuNIgMQvaYkgiRG
27,<intro_1> A D A D <verse_1> A D A D A D A G <chorus_1> A D A D A D A D A D <verse_2> A D A D A D A G <chorus_2> A D A D A D A D A D A D <bridge_1> A D A D <chorus_3> A D A D A D A D A D <outro_1> A D,2023-02-10,'country pop',2020.0,,artist_23,pop,3Ivl6TLQRmygbBCz2X8f1e,4O8A9zKc4TrSgV0RQp0cRg
28,<intro_1> Amin Asus2 Amin Amin7/G F E7 F <verse_1> Amin Fmaj7 G E7 <verse_2> Amin Fmaj7 G E7 <chorus_1> Amin Fmaj7 G E Amin F Dmin Gadd11 G Amin Fmaj7 G E Amin F Dmin Gadd11 G Amin <verse_3> Fmaj7 G E <verse_4> Amin Fmaj7 G E <chorus_2> Amin Fmaj7 G E Amin F Dmin Gadd11 G Amin Fmaj7 G E Amin F Dmin Gadd11 G Fmaj7 G <instrumental_1> Fmaj7 G Emin Amin Fmaj7 G Emin Amin <bridge_1> Fmaj7 G E7 Amin Fmaj7 E7 <chorus_3> Amin Fmaj7 G E Amin F Dmin Gadd11 <outro_1> G Amin Fmaj7 Amin,2000-03-20,'classic belgian pop',1990.0,,artist_22,pop,3j1udoaYEcFfiWJ1HqjFVK,7p0vcwWuuNIgMQvaYkgiRG
29,<intro_1> C G F Amin C F C G F Amin C F C G F Amin C F C G F Amin C F <chorus_1> C G F Amin C F C G F Amin C F <instrumental_1> C G F Amin C F C G F Amin C F C G F Amin C F C G F Amin C F <chorus_2> C G F Amin C F C G F Amin C F <instrumental_2> C G F Amin C F C G F Amin C F C G F Amin C F C G F Amin C F <chorus_3> C G F Amin C F C G F Amin C F <outro_1> C G F Amin C F,2019-05-24,'latin worship',2010.0,,artist_24,,1EzC5xAyZvfoJDsiQsu4Mw,5pyTY6jmdDNfKmmlo92Vfd
30,C Amin F C Amin F Amin C G F Amin C G F Dmin C G F Dmin C G C Amin F C Amin F Amin C G F Amin C G F Dmin C G F Dmin C G F Dmin C G F Dmin C G F C Amin G F C Amin G F C Amin G F C Amin G C Dmin Amin G C Dmin Amin G F Dmin C G F Dmin C G F Dmin C G C,,'latin worship',,,artist_24,,64YUdJTdhkXJgvbKZpQtJa,5pyTY6jmdDNfKmmlo92Vfd
31,<chorus_1> C Amin G C Amin G <verse_1> Amin G C F Amin G C F Amin G C F Fmin <chorus_2> C Amin G C Amin G <outro_1> C Amin G,2023-02-02,,2020.0,,artist_25,,3JICV5tPaDMjzpYHBfAUrz,2tIK7aK89eykqHXDqISEiF
32,<verse_1> Amaj7 A7 Dmaj7 Dmin7 Amaj7 A7 Dmaj7 Dmin7 Amaj7 <chorus_1> Dmaj7 Dmin7 Amaj7 Dmaj7 Dmin7 Amaj7 <verse_2> A7 Dmaj7 Dmin7 Amaj7 A7 Dmaj7 Dmin7 Amaj7 <chorus_2> Dmaj7 Dmin7 Amaj7 Dmaj7 Dmin7 Amaj7 <instrumental_1> Dmaj7 Amaj7 Dmaj7 Dmin7 Amaj7 <chorus_3> Dmaj7 Dmin7 Amaj7 Dmaj7 Dmin7 Amaj7,2022-10-14,,2020.0,,artist_25,,2Do2aatBxuuKWIav90Njvg,2tIK7aK89eykqHXDqISEiF
33,Amin A D E F G Amin Gmin Amin Gmin C F G E Amin G D7 D C B C B E Amin Emin Gno3d F C F G Amin G D C7 B7 C7 B7 E7 Emin E7 Amin G C Dmin C F G E Amin Dmin G A Amin,,,,,artist_26,,,72ZEnTn1vD4hXxydUIz0oP
34,<verse_1> C G Amin F G C G Amin F G C G Amin F G C G Amin F G <chorus_1> Amin G C F G Amin G C F G Amin G C F G Amin G C F G C <verse_2> G Amin F G C G Amin F G C G Amin F G C G Amin F G <chorus_2> Amin G C F G Amin G C F G Amin G C F G Amin G C F G C <instrumental_1> G Amin F G <chorus_3> Amin G C F G Amin G C F G Amin G C F G Amin G C F G C,2022-10-14,,2020.0,,artist_25,,5JCQgMY2RH0XRQlRTI4rgs,2tIK7aK89eykqHXDqISEiF
35,<intro_1> C G C <verse_1> G C Amin G C G C F G C G C G C G C G C G C G C G C F C F C,,'cartoon' 'otacore',,,artist_27,,2n67KKYElh1XKOJxYxWkJF,5mM9eNte0aWttOiMhPb2dM
36,<chorus_1> Eb Bb Gmin F Eb Bb Gmin F <verse_1> Eb Bb Gmin F Eb Bb Gmin F Eb Bb Gmin F Eb Bb Gmin F <chorus_2> Eb Bb Gmin F Eb Bb Gmin F Eb Bb Gmin F Eb Bb Gmin F <verse_2> Eb Bb Gmin F Eb Bb Gmin Eb Bb Gmin F Eb Bb Gmin F <chorus_3> Eb Bb Gmin F Eb Bb Gmin F Eb Bb Gmin F,2023-02-03,'singer-songwriter pop',2020.0,,artist_28,pop,3ekyM2RKssRCbqVhrVt2R0,0p3tzEAt0XWrBqbrwBoN1I
37,<intro_1> Fsmin G Bmin A <verse_1> Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Emin Fsmin G A <chorus_1> Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Emin Fsmin G A Fsmin G Bmin A <verse_2> Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Fsmin G Fsmin G Bmin A <interlude_1> Emin Fsmin G A <bridge_1> Emin Fsmin G A Emin Fsmin G A Emin Fsmin G A Emin Fsmin G A Emin Fsmin G A Emin Fsmin G A Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Emin Fsmin G A Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Fsmin G Bmin A Emin Fsmin G A Fsmin G Bmin A,2023-04-30,,2020.0,,artist_29,,7dz9yXF8VlQCqsDDkZ8NiS,4x3D4feRcGxDmApaPnStNi
38,<chorus_1> D Bmin7 A E Bmin7 E7 A <verse_1> Amaj7 A7 Dmaj7 Csmin7 Fsmin7 Bmin7 E7 Dmin Fsmin E B7 <chorus_2> D Bmin7 A E Bmin7 <bridge_1> A Fs7 Bmin7 A Aaug Aadd13 G7 <chorus_3> D Bmin7 A E Bmin7 <outro_1> A D Bmin E A D Bmin E Gs A D Bmin E A D Bmin E Gs A D Bmin E A D Bmin E Gs A D Bmin E A D Bmin,2023-08-18,,2020.0,,artist_30,,13jdaWLIptrlaN9vrPXOxB,4DiZJ3Gg7B1EWeKoQO36Ae
39,<intro_1> A Emin7 Cadd9 G <verse_1> A Emin7 Cadd9 G A Emin7 Cadd9 G Bmin A Emin A Bmin A Emin A <chorus_1> D A Cadd9 G D A Cadd9 G <verse_2> A Emin7 Cadd9 G A Emin7 Cadd9 G Bmin A Emin A Bmin A Emin A <chorus_2> D A Cadd9 G D A Cadd9 G <outro_1> D A Cadd9 G D A Cadd9 G,2022-12-06,,2020.0,,artist_31,,4BxfStG0kB4oOYRd7KoCeV,1Axmjdhh7wwCnWWHVOUneO
40,<intro_1> Fmin7 Cmin7 Bbmin9 Fmin7 Cmin7 Bbmin9 Fmin7 Cmin7 Bbmin9 <verse_1> Fmin7 Cmin7 Bbmin9 Fmin7 Cmin7 Bbmin9 Fmin7 Cmin7 Bbmin9 Fmin7 Cmin7 Bbmin9 Fmin7 <chorus_1> Cmin7 Bbmin9 Fmin7 Cmin7 Bbmin9 Fmin7 Cmin7 Bbmin9 Fmin7 Cmin7 Bbmin9 <verse_2> Fmin7 Cmin7 Bbmin9 Fmin7 Cmin7 Bbmin9 Fmin7 Cmin7 Bbmin9 Fmin7 Cmin7 Bbmin9 Fmin7 <chorus_2> Cmin7 Bbmin9 Fmin7 Cmin7 Bbmin9 Fmin7 Cmin7 Bbmin9 Fmin7 Cmin7 Bbmin9 <bridge_1> Dbmaj7 F/G Eaug/Gb Fmin11 Ebmin9 Ab13 Dbmaj7 F/G Eaug/Gb Fmin11 Ebmin9 Ab13 Dbmaj7 C Bb/D C7/E Fmin7 Bb7 Bbmin7 C13b Fmin7 <chorus_3> Cmin7 Bbmin9 Fmin7 Cmin7 Bbmin9 Fmin7 Cmin7 Bbmin9 Fmin7 Cmin7 Bbmin9 <outro_1> Fmin7 Cmin7 Bbmin9 Fmin7 Cmin7 Bbmin9,1999-01-01,'contemporary r&b' 'r&b',1990.0,,artist_32,soul,2dPEPvdL38EnsZk9E4wu1m,5aEWnrN8h3MhuFUPRfaVuy
41,<intro_1> Dmin Bb Dmin Bb <verse_1> Dmin Amin A7 Dmin Bb F C/Bb Dmin Amin A Dmin Bb F A Dmin Bb F A Dmin <instrumental_1> Bb C7 F A7 Dmin7 <verse_2> Dmin Amin7 A7 Dmin Bb G/B F/C C/Bb Dmin G/B Amin A7 Dmin Bb C F C Dmin Bb C F A7 Dmin <instrumental_2> A Dmin Bb Dmin A7 Dmin <verse_3> Amin A7 Dmin Bb G7 F C Dmin Amin A7 Dmin Bb C F C Dmin Bb C F A7 Dmin <instrumental_3> Bb C A7 Bb Edim7 A7 Dmin7 <verse_4> Dmin Amin A7 Dmin Bb G/B F/C C/Bb Dmin C Bb A7 Dmin Amin A A7 Dmin Bb G/B F/C C/Bb A7 Dmin Amin Gmin Bb F A7 Dmin <instrumental_4> Bb Edim Bminadd13 G/B Bb A7 Dmin7 <verse_5> Dmin Amin7 A7 Dmin Bb C F C Dmin C Bb A7 Dmin Amin A7 Dmin Amin Bb C F C A7 Dmin C Bb C F A C7 F Bb A7 Dmin,2017-07-04,'tango' 'tango cancion',2010.0,,artist_33,,3rl3ATO2NhY7888g3qNbYw,5diAzb0BD6mSdU1xOhM7dc
42,Ano3d D/A A Csmin/Gs D/Fs Dmin/F E7 A D Dmin A/E D/E A/E D/E D D/A A Fsmin Aadd13/E D Dsus2 A Ano3d A D/A A Csmin D/Fs Dmin/F E7 A D Dmin Dsus2 A/E D/E A/E D/E D D/A A Esus4 Fsmin Fsmin7 D A A/E D/E A/E D/E A/E D/E,2004,'australian rock' 'freakbeat' 'protopunk' 'psychedelic rock',2000.0,australian rock,artist_34,rock,3ZtsrLc3eRHmIgKAaRSVtY,1pJEZXU2hJApJW3rM7LmMu
43,<intro_1> D Bmin Emin A <verse_1> D Bmin Emin A D Bmin Emin A D Bmin Emin A D Bmin Emin A <chorus_1> D Bmin Emin A D Bmin Emin A <verse_2> D Bmin Emin A D Bmin Emin A D Bmin Emin A D Bmin Emin A <chorus_2> D Bmin Emin A D Bmin Emin A <bridge_1> Fsmin Bmin Emin A Fsmin Bmin E A <verse_3> D Bmin Emin A D Bmin Emin A <chorus_3> D Bmin Emin A D Bmin Emin A <bridge_2> Fsmin Bmin Emin A Fsmin Bmin E A <verse_4> D Bmin Emin A D Bmin Emin A <chorus_4> D Bmin Emin A D Bmin Emin A <outro_1> D Bmin Emin A D Bmin Emin A D,2023-03-31,'memphis americana',2020.0,,artist_35,,3glzhe96SRqOMnMIM0Powq,3azero10EBz68YUn4mWz29
